,games,name,pAssists,pBlocks,pFaceoffWins,pGoals,pHits,pPPpoints,pPenaltyMin,positionX,positionY
66,17.0,Steven Stamkos,1.58059587471,-0.77726330288,2.46366446922,2.56245605812,0.0106543889101,4.36237763471,0.576732865827,C,C
67,33.0,Ryan Strome,-0.154019534185,-0.579275127662,0.766288645767,0.223469757334,-0.380190309831,-0.0791876788878,-0.0717070573485,RW,RW
68,16.0,Brad Richardson,-0.00295159386068,-0.447798605057,2.56862399859,1.10283864542,-0.0284483106608,-1.0,0.79494143208,RW,C
69,36.0,Riley Sheahan,-0.335301062574,-0.333852285465,0.569533703084,-1.0,-0.0682194324466,-1.0,-0.361798601927,C,LW
70,38.0,Jamie Benn,1.5188591313,-0.269267326992,0.471274806437,0.770811490879,0.270283649219,3.79791683106,0.763451231517,LW,LW
71,35.0,Joel Ward,-0.0884128858155,-0.026322438304,0.563397180335,-0.615480933409,-0.111724169747,-1.0,-0.343564276268,RW,RW
72,17.0,Darren Helm,-0.296201125078,-0.55452660576,2.21875890069,0.583313803609,0.0106543889101,2.57491842314,-0.0990097909559,C,LW
73,29.0,Andrew Shaw,0.237715262794,-0.434197585477,0.845839999271,0.392224206622,1.08769001847,0.0478209171276,2.82920838844,C,C
74,37.0,Brandon Pirri,-0.137687864961,-0.624758897645,0.237765981493,0.0912027565414,-0.535645280771,2.28506017262,-0.223809110452,RW,LW
75,17.0,Peter Holland,-0.0616015001042,-0.851508868587,1.69396125384,-1.0,-0.229977608449,-1.0,-0.0990097909559,C,C
76,25.0,Mathieu Perreault,-0.202361275089,-0.495130153195,0.760521172638,-0.192509960159,0.4399418722,0.215472263868,0.2253466843,C,LW
77,33.0,Steve Ott,-0.758291295481,-0.502779696328,0.279658100505,-0.592176747555,0.983391008539,-1.0,2.13298868145,C,LW
78,34.0,Nick Cousins,-0.296201125078,-0.591649388613,0.102075058389,-0.208343098195,-0.0855984100337,-0.106270394215,0.18254964937,C,C
79,37.0,Shane Doan,-0.245476881841,-0.45419476021,-0.0194321445312,-0.272531495639,0.3709520282,-0.178734956846,0.552381779096,RW,RW
80,18.0,Josh Jooris,-0.556867375049,-0.298791879437,0.949526073305,-0.626162018592,0.0908650546966,-1.0,-0.361798601927,RW,C
81,36.0,Sam Reinhart,0.550964187328,-0.368912691493,-0.0252369633477,0.495351925631,-0.727283736326,2.37631184408,-0.574532401285,C,C
83,35.0,Adam Cracknell,-0.772103221454,-0.170570965963,-0.0823538289336,-0.230961866818,0.145408307431,-1.0,-0.890594046045,RW,LW
84,16.0,Freddie Hamilton,-1.0,-0.921114086437,0.970177832556,-0.579432270916,0.482894683728,-1.0,-0.282023427168,C,C
85,25.0,David Desharnais,-0.0428335301063,-0.747565076597,0.237122986178,-0.192509960159,-0.967274048359,-1.0,-0.693663328925,C,C
86,33.0,Blake Comeau,-0.758291295481,-0.502779696328,-0.0808089700598,0.223469757334,0.735467132472,0.841624642224,1.08865912097,LW,RW
87,20.0,Drake Caggiula,-0.202361275089,-0.747565076597,0.427449599437,-0.327091633466,0.963557098454,0.519340329835,-0.808539580578,LW,LW
88,31.0,Jon Marchessault,0.672468294169,-0.592846897738,-0.194181677737,1.38773936512,0.372378617199,1.94065870291,-0.25886289256,C,C
89,36.0,Brayden Point,0.329397874852,-0.61433553369,-0.306100889163,-0.439243027888,-0.636378315101,1.53223388306,-0.468165501606,C,C
91,35.0,Boone Jenner,-0.430258053635,0.190050353184,-0.405229333568,0.153557199772,1.24406525538,-1.0,0.0393565625759,C,LW
92,30.0,Ryan White,-0.601180637544,-0.242695229792,-0.365577955806,-0.551394422311,1.67261938401,-1.0,2.82920838844,C,RW
93,35.0,William Nylander,0.937122617642,-0.603316548939,-0.456209676405,0.538076266363,-0.789618882309,3.34097237096,-0.0153464144018,C,C
