Player,Pos.x,Rk,Tm,Age,GP,G,A,PTS,X...,PIM,EV,PP,SH,GW,S,S.,TOI,G.1,A.1,PTS.1,S.1,OPS,DPS,PS.,Pos.y,Cap
Lance Bouma,C,187,CGY,26,21,2,2,4,-1,15,2,0,0,1,16,12.5,242,0.1,0.1,0.19,0.76,0,0.2,0.2\,LW,2200000
Matt Calvert,LW,112,CBJ,27,30,5,2,7,6,35,3,0,2,1,43,11.6,424,0.17,0.07,0.23,1.43,0.2,0.6,0.8\,LW,2200000
Nick Schultz,D,359,PHI,34,11,0,3,3,1,6,0,0,0,0,10,0,181,0,0.27,0.27,0.91,0.1,0.5,0.6\,D,2250000
Daniel Winnik,LW,130,WSH,31,26,5,4,9,9,17,4,0,1,1,26,19.2,310,0.19,0.15,0.35,1,0.7,0.8,1.5\,LW,2250000
Jason Chimera,LW,114,NYI,37,36,5,7,12,-5,18,5,0,0,0,50,10,468,0.14,0.19,0.33,1.39,0.6,0.2,0.8\,RW,2250000
Dale Weise,RW,219,PHI,28,34,2,2,4,-1,15,1,1,0,1,40,5,427,0.06,0.06,0.12,1.18,-0.5,0.4,-0.1\,RW,2350000
Blake Comeau,LW,94,COL,30,33,6,2,8,-6,36,3,2,1,0,49,12.2,523,0.18,0.06,0.24,1.48,0.1,0.5,0.6\,RW,2400000
Ryan Ellis,D,139,NSH,26,28,4,8,12,6,19,4,0,0,2,44,9.1,680,0.14,0.29,0.43,1.57,1,1.9,2.9\,D,2500000
Matt Martin,LW,200,TOR,27,36,2,2,4,1,70,2,0,0,0,29,6.9,319,0.06,0.06,0.11,0.81,-0.2,0.3,0.1},LW,2500000
Joe Colborne,C,159,COL,27,29,3,1,4,-13,14,1,2,0,0,27,11.1,340,0.1,0.03,0.14,0.93,-0.2,-0.1,-0.3\,RW,2500000
Ryan Strome,RW,106,NYI,23,33,6,7,13,-4,16,5,1,0,1,58,10.3,469,0.18,0.21,0.39,1.76,0.9,0.2,1.1\,RW,2500000
Mathew Dumba,D,116,MIN,22,36,5,10,15,11,37,3,2,0,1,71,7,711,0.14,0.28,0.42,1.97,1.4,2.2,3.5\,D,2550000
Derek Dorsett,RW,238,VAN,30,14,1,3,4,-6,33,1,0,0,0,24,4.2,139,0.07,0.21,0.29,1.71,0.2,-0.1,0.1\,RW,2650000
Brendan Smith,D,212,DET,27,23,2,3,5,0,24,1,1,0,1,32,6.3,420,0.09,0.13,0.22,1.39,0.3,1,1.2\,D,2750000
Adam McQuaid,D,335,BOS,30,35,0,1,1,5,42,0,0,0,0,37,0,613,0,0.03,0.03,1.06,-0.7,2.1,1.5\,D,2750000
Cal Clutterbuck,RW,158,NYI,29,35,3,11,14,6,16,3,0,0,1,59,5.1,514,0.09,0.31,0.4,1.69,0.5,0.7,1.2\,RW,2750000
