,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,,,,Per Game,Per Game,Per Game,Per Game,Point Shares,Point Shares,Point Shares\
Rk,Player,Tm,Lg,Pos,Season,Age,GP,G,A,PTS,#ERROR!,PIM,EV,PP,SH,GW,S,S%,TOI,G,A,PTS,S,OPS,DPS,PS\
41,Andrew Cogliano\\coglian01,ANA,NHL,LW,2016-17,29,39,9,10,19,9,16,7,0,2,0,83,10.8,597,0.23,0.26,0.49,2.13,1.5,1.1,2.6\
42,Cam Fowler\\fowleca01,ANA,NHL,D,2016-17,25,39,9,13,22,0,6,4,5,0,3,85,10.6,956,0.23,0.33,0.56,2.18,2.3,2.2,4.5\
43,Taylor Hall\\hallta02,NJD,NHL,LW,2016-17,25,28,9,16,25,-4,8,5,4,0,2,89,10.1,569,0.32,0.57,0.89,3.18,2.3,0.7,3.0\
44,Scott Hartnell\\hartnsc01,CBJ,NHL,LW,2016-17,34,35,9,13,22,11,15,8,1,0,0,51,17.6,437,0.26,0.37,0.63,1.46,2.3,0.8,3.2\
45,Adam Henrique\\henriad01,NJD,NHL,C,2016-17,26,38,9,11,20,-7,24,6,2,1,1,63,14.3,701,0.24,0.29,0.53,1.66,1.4,0.7,2.1\
46,Nathan MacKinnon\\mackina01,COL,NHL,C,2016-17,21,37,9,16,25,-13,4,6,1,2,3,125,7.2,744,0.24,0.43,0.68,3.38,1.8,0.5,2.2\
47,Anthony Mantha\\manthan01,DET,NHL,RW,2016-17,22,22,9,7,16,10,12,8,1,0,2,54,16.7,372,0.41,0.32,0.73,2.45,1.8,0.9,2.7\
48,Mitch Marner\\marnemi01,TOR,NHL,C,2016-17,19,36,9,18,27,-2,18,8,1,0,3,100,9,614,0.25,0.5,0.75,2.78,2.4,0.5,2.9\
49,Tanner Pearson\\pearsta01,LAK,NHL,LW,2016-17,24,35,9,9,18,10,7,8,1,0,0,72,12.5,551,0.26,0.26,0.51,2.06,1.6,1.2,2.8\
50,Steven Stamkos\\stamkst01,TBL,NHL,C,2016-17,26,17,9,11,20,3,14,6,3,0,1,58,15.5,304,0.53,0.65,1.18,3.41,2.4,0.5,2.9\
